Countries,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
Australia,12202042,12391833,12623430,12895524,13180609,13386329,13565041,13755314,13953503,14123107,14292318,14470905,14689310,14886219,15083887,15231645,15532115,15725666,15909989,16090990,16265767,16439920,16620300,16803915,16991355,17196311
Austria,5085034,5093202,5098762,5115121,5125754,5146399,5184364,5209025,5242298,5285847,5342640,5408975,5442187,5462438,5478294,5490075,5492410,5485990,5475851,5460982,5442480,5419883,5393378,5364702,5335076,5306807
Belgium,6252984,6303499,6363858,6420877,6472135,6532025,6583735,6612231,6629549,6641189,6655677,6670757,6683872,6697185,6711534,6722542,6705826,6703936,6704137,6701834,6699047,6697186,6694504,6690195,6683990,6678904
Canada,20156044,20392578,20614243,20838716,21083635,21329825,21519075,21701350,21871046,22024212,22093877,22238852,22407551,22636959,22877292,23029860,22946000,23025300,23095900,23169400,23234400,23302200,23388500,23478000,23576500,23692900
Chile,9412594,9561664,9716637,9882497,10058845,10234622,10417615,10591140,10742711,10893208,11035437,11175921,11361869,11603658,11859855,12101594,12231194,12296489,12338535,12369083,12390564,12406548,12421636,12439055,12459150,12477924
Colombia,22726907,23189434,23648850,24112574,24578125,25044127,25521728,25997869,26470702,26934530,27386815,27820263,28240775,28645355,29032686,29400955,29646594,29752321,29785928,29838608,29967528,30192390,30371957,30548330,30772022,31067146
Costa Rica,2350856,2421056,2484770,2546427,2609813,2672798,2731877,2789640.505,2846552.92,2900423.925,2952723.821,3002471.47,3047089.675,3088128.833,3126557.188,3164759.949,3199471.856,3229406.794,3253699.235,3278732.362,3299891.479,3319039.789,3337838.282,3358521.064,3378989.415,3397507.265
Czech Republic,6619728,6655400,6702423,6772342,6798207,6795111,6735476,6698544,6650881,6611239,6564446,6511153,6456647,6417087,6386515,6355503,6321385,6288791,6260135,6238479,6222971,6211191,6204672,6197416,6183210,6168405
Denmark,3272070,3273133,3274986,3278627,3279955,3273643,3266671,3261534,3266220,3280409,3304273,3328948,3348443,3359610,3370577,3366856,3373928,3377266,3382755,3387692,3390664,3391930,3391656,3388065,3380557,3369964
Estonia,820090,815320,812460,814225,817765,819915,818356,813823,807990,801091,795860,791122,786678,784837,782695,778859,774904,770064,765100,760084,755437,751375,748329,746553,745253,744289
Finland,3179792,3184138,3190226,3204325,3213966,3216246,3209677,3200625,3191266,3181664,3172094,3163744,3153906,3141007,3130495,3122540,3110816,3101499,3095340,3091094,3086487,3082536,3079171,3075832,3073514,3073070
France,36805983,37128824,37412663,37625726,37795181,37948437,38019197,37981376,37905796,37896428,37763153,37633851,37544743,37473244,37391747,37333821,37275904,37248397,37211449,37168824,37121566,37083338,37052335,37010787,36956123,36906344
Germany,50251569,49947073,49793160,49714521,49607713,49693267,48808371,49005552,49159653,49293520,49579864,49797466,49810411,49835857,49793459,49647175,49446880,49215504,48944736,48625118,48253921,47843311,47416679,46981321,46524443,46080483
Greece,6686010,6717298,6745107,6772400,6791057,6786381,6750092,6678189,6589105,6508771,6436384,6377569,6334258,6295431,6266628,6243319,6179626,6139024,6097021,6051081,6004817,5961848,5920940,5883068,5848523,5810446
Hungary,6305564,6306480,6300301,6289824,6278499,6269284,6247838,6218255,6192122,6158538,6123157,6078832,6034281,5994581,5946148,5883710,5837908,5801729,5774511,5751030,5732570,5720507,5713906,5708294,5700452,5686812
Iceland,174644,180364,186475,190555,190504,189351,189609,190351,192140,194408,196624,199972,206144,213315,218842,222170,223885,226931,230511,234336,236960,237615,236823,235678,235215,235106
Ireland,2528714,2614630,2729192,2792362,2803836,2792581,2785569,2774131,2767189,2767861,2779679,2803034,2827050,2858729,2896357,2929703,2981421,3018645,3052655,3083041,3109445,3134170,3160857,3188382,3214981,3240598
Israel,3705954,3780795.5,3857330,3934018,4070708,4139405,4194927,4255712,4312228,4375227,4439271,4502488,4568384,4639022,4715200,4791300,4829072,4902343,4979475,5058259,5135058,5214046,5297930,5385536,5477099,5571947
Italy,35651162,35625465,35740185,35965084,36124725,36258395,36296109,36245311,36178171,36031167,35848706,35687416,35554541,35434205,35280840,35051516,35457511,35352133,35250159,35146285,35023473,34879468,34717513,34534710,34308019,34052870
Japan,77829400,77385890,76889947,76377402,75722489,75641506,75287329,74170870,73029681,71932622,71227144,70522039,69967039,69544171,69251494,68829000,68012383,67675412,67270361,66811330,66347447,65896484,65435120,64935947,64381377,63716054
Korea,31560453,31829608,32024579,32305269,32532867,32779771,33181463,33420317,33640947,33966111,34221628,34463953,34589113,34827840,34916884,34867307,34805382,34620908,34352538,34042081,33615330,33129664,32778594,32388251,32078937,31688710
Luxembourg,286589,291698,296927,303270,309993,316719,325196,334342,342958,352045,361499,371793,381465,389657,397835,404718,408083,411714,415159,418553,421507,423847,425921,427746,429275,430661
Mexico,55524036,56747254,58034930,59373109,60740006,62100382,63459030,64797403,66105688,67386658,68610817,69785987,70907233,71978450,73006166,73993928,74944604,75858677,76737855,77584142,78394462,79165439,79898468,80596478,81259686,81887469
Netherlands,10028513,10030327,10041330,10065257,10094358,10127680,10133129,10101839,10074343,10064606,10070147,10089998,10117997,10153819,10208047,10257095,10283332,10320188,10362703,10393861,10411098,10417624,10414818,10407443,10396207,10383300
New Zealand,2441140,2471090,2490980,2512160,2536100,2561920,2578670,2582370,2594860,2642890,2707100,2779840,2845300,2901880,2945070,3016490,3026600,3040600,3056500,3071300,3085500,3099600,3115400,3132900,3151900,3174000
Norway,2741023,2766552,2801129,2841964,2879386,2914253,2951013,2988253,3023532,3056224,3085356,3109439,3129534,3146107,3165463,3182426,3189501,3196970,3205140,3213148,3221286,3229804,3238051,3245681,3252458,3257221
Poland,23910885,24108290,24286640,24455757,24616858,24987968,25068865,25055191,24976710,24865311,24719796,24531372,24328429,24104133,23865168,23613596,23032145,22785708,22536018,22302716,22106348,21955330,21844274,21768280,21714918,21665815
Portugal,6427809.5,6439729.5,6451907.5,6456405.5,6452858.5,6442407,6418472,6378119,6320705,6257587.5,6203176,6155831.5,6115149,6085014,6072630,6071356.5,6039369,6011045,5977624,5939283,5896539,5850069,5800577,5751192,5699817,5648108
Slovak Republic,3436642,3467201,3496651,3524759,3548818,3569621,3541266.5,3551119.5,3551265.5,3546639.5,3533301.5,3513503,3490641.5,3465932,3439755,3411758,3385263,3355388,3327741,3304381,3283677,3262776,3243197,3225175,3208244,3192794
Slovenia,1283194,1289150,1297886,1299138,1312488,1316712,1318279,1312499,1306503,1298969,1288689,1277193,1267971,1258287,1262671,1259940,1253056,1247045,1240309,1232586,1224521,1216752,1209831,1204393,1199696,1194688
Spain,27799451,28249434,28875326,29333657,29471792,29459557,29431003,29321630,29025109,28749055,28582954,28489492,28433396,28475582,28667673,28811018,28695836.23,28703719.58,28689035.83,28679754.49,28666278.85,28651200.6,28645580.13,28633991.13,28608620.15,28541371.02
Sweden,5310997,5342862,5379132,5411604,5444691,5478346,5508154,5536333,5567025,5604062,5644689,5695933,5751134,5794907,5836863,5867661,5905426,5932149,5961261,5991436,6021284,6052344,6082186,6107472,6126412,6142318
Switzerland,4617974,4648241,4690626,4754523,4816521,4864512,4922486,4972049,5025256,5080860,5132458,5180798,5219149,5245521,5270402,5298266,5324307,5343667,5361632,5378181,5393329,5406966,5419046,5429481,5438220,5448016
Turkey,38964890,39782778.5,40564029.42,41218328,42016970,42811660,43634385,44356027,45065648,45785118,46447847,47194184,47984671,48782077,49634710,50211398,50576083,51201513,51796125,52297277,52718734,53176177,53667201,54119676,54482638,54723893
United Kingdom,35991705,36356996,36697678,36996544,37189514,37441793,37737763,37724661,37783391,37932727,38144205,38378210,38539099,38689297,38803897,38914059,39037491,39060751,39065083,39070247,39068646,39068245,39060509,39065612,39050658,39040889
United States,176861541,178891387,180656065,182198081,183867963,185664602,187394121,188243973,189156372,190086126,190962714,191701839,192250125,192527201,192613650,192570403,194594946,194856079,195138812,195475379,195709812,196040153,196498804,196972411,197354682,197845657
