fw,dw,prod,u,v,partfull,a_alter,lambda_alter
311493.81,2934763.3,98.844002,1.8658441,1.2401229,0.056536751,2.666949,0.0364651
311027.28,2954587.8,101.875,1.9388494,1.1233732,0.058486289,2.67555,0.0385165
318236.44,2964878.5,98.720001,1.8743595,1.0562017,0.063206348,2.276076,0.0374169
323313.66,2960656.3,99.787003,1.8471926,1.0826111,0.060282369,2.686158,0.0348335
327729.84,2985024.3,100.7,1.8719383,1.0143253,0.059989731,2.105558,0.0332814
329148.47,2984271.5,98.603996,1.8676329,1.1353166,0.05656327,2.433875,0.0349604
326744.78,3002196.3,98.265999,1.8371314,1.1106107,0.055892116,2.228163,0.035588
322962.44,3006254.5,96.711998,1.8653615,1.0224795,0.052364949,2.38872,0.0331024
320609.72,3020975.3,97.677002,1.8802336,1.0549663,0.053405407,2.271053,0.0327578
316531.94,3034066,99.514999,1.8695564,1.2251109,0.054560763,2.183431,0.0305788
314327.16,3051735.8,100.44,1.9221973,1.2649297,0.05687503,1.927201,0.0323851
311054.03,3048934,101.253,1.9004872,1.3402661,0.057685268,2.180763,0.0298244
320968.94,3053762,102.04,1.9198692,1.3207241,0.055488013,1.764701,0.0303772
320271.31,3051159.8,100.432,1.8772769,1.3838769,0.054597184,2.15398,0.0331192
320945.97,3063869,98.594002,1.8523972,1.4370579,0.05577523,1.916012,0.0330479
326168.31,3062414.8,98.794998,1.8950015,1.4812757,0.053356768,1.721401,0.028947
331182.84,3066476.3,98.938004,1.852888,1.4496691,0.054529249,1.823151,0.0327541
334449.72,3061544.3,99.239998,1.7828552,1.4395975,0.050959833,1.94135,0.0285928
338641.63,3071266.3,98.338997,1.7946886,1.4485064,0.050464784,1.844659,0.0288816
339752.56,3079142.5,100.188,1.7499994,1.4092736,0.050334048,1.597274,0.0277031
342359.19,3072035.8,98.559998,1.7399746,1.3183162,0.049231246,1.909038,0.0252518
345576.66,3086645.3,100.222,1.7719415,1.0534708,0.05086841,2.081794,0.0280983
347290.97,3095694,99.940002,1.7453707,1.5582938,0.051967931,1.975162,0.0312323
349325.97,3093632,102.196,1.7836525,1.5003521,0.051830586,2.353204,0.0343224
340164.13,3111779,102.561,1.7639016,1.5923578,0.048777463,2.187633,0.0327022
341367.38,3123431.5,101.396,1.7430404,1.5264868,0.046972509,2.276137,0.0347262
344586.03,3132342,101.711,1.7241983,1.563193,0.047158891,2.16117,0.0320755
354286.59,3143817.5,101.619,1.7775981,1.5085131,0.047193691,1.799143,0.0299498
363004.09,3140188,98.758003,1.7144209,1.4944997,0.046490304,2.057569,0.0299125
366145.94,3154894,101.844,1.7369473,1.3978952,0.048012653,2.037924,0.0280149
370863.56,3169235.5,102.774,1.7836576,1.3339845,0.049825738,1.875846,0.0305923
376561.66,3165750.3,99.332001,1.770842,1.3264544,0.046132126,2.116282,0.0319255
376398.72,3175996.3,98.731003,1.8158911,1.2718916,0.046712413,2.225241,0.0318553
378393.31,3189892.8,97.272003,1.8248894,1.3497697,0.047791111,1.904447,0.0302153
382080.25,3191097.8,98.323997,1.8212551,1.3464578,0.043387519,2.07158,0.0296283
384119.09,3199139,101.442,1.8806275,1.2972387,0.042655277,2.08635,0.0320194
378054.72,3207375.3,97.599998,1.9080514,1.3308725,0.04058059,1.603962,0.0276743
378182.03,3203730,100.6,1.9186718,1.3393099,0.039308969,2.006476,0.0327178
378929.84,3209611.3,98.300003,1.9608595,1.3648523,0.038585544,1.745488,0.0314633
381770.5,3207723.5,99.5,1.9724311,1.4571451,0.037943896,1.492209,0.0293963
385465.78,3197983.3,98,1.8807027,1.3618039,0.037923113,1.730676,0.0288158
388032.81,3200871.3,99.900002,1.9725682,1.2249491,0.03705668,1.771287,0.0278383
391928.75,3205852.3,98.900002,1.9779134,1.1835077,0.037951527,1.546834,0.0270949
391147.91,3205001,101.9,1.9288023,1.248588,0.037934618,1.607942,0.0263909
392918.84,3208132.3,103.1,1.9717206,1.3851649,0.037194185,1.695669,0.0273639
392440.53,3219757.5,101.3,1.9657941,1.3656107,0.03706298,1.764432,0.029661
390612.63,3225398.3,100.7,1.9669298,1.3153366,0.035026236,2.00423,0.0279202
389714.44,3244396.5,100.1,2.0044479,1.2873709,0.036230162,1.838567,0.0313517
384951.41,3243040.5,99,2.043684,1.2617613,0.033904897,1.427258,0.0277866
381081,3233544,100.8,2.1043832,1.2924043,0.031614921,1.701945,0.0304758
378966.03,3235268,101,2.1392131,1.3447392,0.031673237,1.496112,0.0287953
381641.13,3232144,100,2.087615,1.3625523,0.032019115,1.468304,0.0279783
382905.75,3231086.3,103.6,2.1111209,1.3900152,0.032396166,1.431877,0.0273548
386081.78,3228781.3,103.8,2.1311126,1.394487,0.033830349,1.461699,0.0265459
388365.13,3229391.8,102.8,2.1040125,1.3729851,0.034032278,1.401348,0.0257631
389170.41,3231245.5,101,2.1607535,1.3964126,0.032841801,1.413093,0.0251618
391888.38,3236225.5,101.4,2.112242,1.4610715,0.031654431,1.550568,0.0273754
391433.53,3244012.5,100.6,1.9909116,1.393874,0.031989084,1.509866,0.0248037
391450.09,3251333,105.3,2.1026428,1.3732619,0.031469073,1.524767,0.0257583
391328.84,3254800.3,104.3,2.0756652,1.4025798,0.032427977,1.519726,0.0276913
377847.56,3262267.5,106.7,2.0082622,1.3080832,0.030995124,1.71681,0.0309178
372747.56,3260815.5,104.8,2.0872145,1.4472259,0.030558868,1.754482,0.0322693
370683,3263253,106.4,2.0434003,1.470083,0.029733847,1.574477,0.0297937
372940.31,3262155.8,104.4,1.9564314,1.40588,0.0301019,1.574225,0.0297083
374019.44,3256167.5,105.4,1.9682581,1.4453905,0.030569916,1.407915,0.0265511
377690.69,3250635.3,104.2,1.9761721,1.5770911,0.029696387,1.475893,0.0274568
381393.66,3247288.3,104.4,1.9298335,1.4643885,0.029595118,1.551461,0.0280621
380592.88,3249259.3,104.9,1.9961958,1.4667751,0.029824438,1.637051,0.0251932
384027.72,3266546.3,105.3,2.0487239,1.4305854,0.030513477,1.373019,0.0256766
384444.47,3265475.5,105.7,1.8210409,1.389107,0.029823101,1.773472,0.0269049
385633.34,3274398.8,105.2,2.0370836,1.3247107,0.028880281,1.64743,0.0259006
388735.09,3277752,102.7,1.9998101,1.4131172,0.031294372,2.068383,0.0331225
389347.84,3327371.3,105,2.0644143,1.431803,0.030971763,1.642111,0.0320419
386601.97,3319242,105.9,2.0888946,1.4182718,0.028476049,2.055298,0.0369046
387721.5,3319293.5,104.4,2.1160309,1.4323125,0.02739396,1.836563,0.0357148
389217.31,3316244.8,107.1,2.1690953,1.4666723,0.027527974,1.746136,0.0341498
389386.72,3317385.3,108.1,2.2172105,1.485979,0.028455768,1.758294,0.0350506
391862.16,3315547.8,108.4,2.1620169,1.4624631,0.028316813,1.752075,0.0336405
393353.16,3315567.8,107.8,2.1648328,1.5279526,0.02831361,1.646436,0.0313765
393200.59,3321971.5,108.9,2.1738513,1.5631086,0.028406389,1.563461,0.0334461
395392,3313245,106.2,2.0615427,1.5174525,0.027356175,1.86293,0.0314016
397194.5,3328605.5,107.5,2.1340051,1.3567585,0.029190442,1.816348,0.0316545
397796.03,3334345,105.5,2.1611469,1.3979114,0.029235551,1.846628,0.0338955
399504.03,3329003,103.6,2.1606832,1.2437754,0.028097753,2.197018,0.0353723
392554.53,3342059.5,105.2,2.2854719,1.2356747,0.027637392,1.661209,0.0308498
390411.41,3340164.5,101.9,2.1993115,1.113086,0.026075335,1.936238,0.0338767
390074.5,3340881.5,103.9,2.264709,1.0645783,0.02639559,1.950584,0.0342464
392894.31,3343948.8,105.9,2.3474162,1.0785402,0.02702948,1.658349,0.0319328
391117.56,3341473.5,105.7,2.3210354,1.1217049,0.026728945,1.675767,0.0328293
391818.03,3337022,106.3,2.2334604,1.1169853,0.026723617,1.669251,0.0311871
392239.66,3334260.3,108.6,2.2783678,1.2015759,0.027417763,1.529264,0.0289643
391567.66,3338642.3,106.5,2.2261157,1.1009995,0.02763241,1.60983,0.0300155
392926.31,3336934.8,108.1,2.2065313,1.068581,0.027160182,1.732607,0.0289411
392730.81,3345463.3,107.1,2.1943247,1.0823505,0.028776322,1.691977,0.0305871
390967,3344607,107.5,2.3013163,1.0033789,0.029022006,1.734186,0.0298376
389802.97,3342815,110.6,2.3829911,1.0252682,0.029145696,1.75197,0.0296795
371706.22,3358218.8,108.5,1.7237961,1.0229725,0.028314123,2.065856,0.031864
364893.09,3354807,105.4,1.7991934,0.92771536,0.026359618,2.104221,0.0333528
357922.13,3350450.8,109.8,1.8469613,0.78628629,0.026747089,1.796773,0.0356427
354853.69,3315729.3,103.7,1.9520181,0.66270459,0.026848949,1.876855,0.0314091
350438.91,3302431,95.900002,2.0639369,0.66510069,0.027963645,2.046637,0.0337263
347118.72,3293615.3,103.4,2.2264071,0.76468903,0.027157719,2.068957,0.0329211
342812.63,3300685.5,105.8,2.2639611,0.87072957,0.029338799,1.753569,0.0307812
339109.31,3303784.8,106.2,2.2490649,0.96319944,0.031210777,1.82334,0.0312109
334281.19,3314154.8,109.8,2.3335249,0.87181348,0.032563263,1.782688,0.0312911
329401.84,3318396.3,109.1,2.2934794,0.92087901,0.033009905,1.779908,0.0298289
324781.78,3326104.3,109.6,2.2697623,1.0050749,0.033484959,1.827732,0.0313716
320621.94,3326914,111.4,2.2766094,0.94280708,0.033547621,2.236002,0.035496
317114.16,3331355.8,111.9,2.1586978,1.0335724,0.03592951,1.84201,0.0309015
313883.75,3330912.3,115.8,2.1614616,1.1377389,0.035723237,2.143436,0.0341184
310383.31,3345851.8,115.1,2.134912,1.2589886,0.037745432,2.007566,0.0363836
307358.31,3350442.8,113.2,2.0593009,1.3442481,0.038252525,1.776292,0.0322074
305977.84,3353019.3,112.8,1.9525819,1.3362495,0.039073837,1.962977,0.035089
305809.72,3353577.3,114.5,1.9347962,1.4434235,0.040229274,1.850186,0.0324264
305124.72,3357440.3,114.6,1.8566918,1.4704591,0.04151159,1.761117,0.0312381
303879.81,3360525.3,116,1.8289428,1.4876305,0.04171116,1.741269,0.028564
303931.28,3370603.8,112.9,1.8187431,1.4854994,0.042754493,1.888705,0.0334116
303352.25,3370054.8,113.3,1.7749492,1.510215,0.042573538,1.990448,0.0311134
302616.69,3380749.3,115.3,1.7190102,1.5502064,0.044034747,2.127724,0.0353577
301890.28,3373868.8,119.6,1.7221057,1.6695009,0.043508856,2.511991,0.0390986
