month,FW,numD,DW,prod,u,v
626,7102.375,17500,10397.5,-3.154999,-0.0052855,0.0027281
627,4965.063,855,-4110,1.067001,-0.0217358,0.0031027
628,4310.438,28784,24473.5,0.9129944,0.0250932,-0.1203296
629,1354.156,666,-688,-2.096001,-0.0152113,0.0550762
630,-2364.094,15521,17885,-0.3379974,0.0513203,-0.0893337
631,-3565.406,276,3841.5,-1.554001,0.0005925,-0.0858414
632,-1859.969,12368,14228,0.965004,-0.0273064,0.0477055
633,-3210.156,9013,12223,1.837997,-0.0905212,0.2647744
634,-903.2188,15465,16368.25,0.9250031,-0.0338192,-0.0500131
635,-1555.281,-6075,-4519.75,0.8129959,-0.0696191,0.1148324
636,1619.375,14743,13123.75,0.7870026,0.167758,-0.0804495
637,1086.188,-3300,-4386.25,-1.608002,-0.0420471,0.2086942
638,1985.25,13384,11398.75,-1.837997,0.0327731,0.154273
639,6088.281,3768,-2320.25,0.2009964,0.0447048,0.0086328
640,5518.594,9076,3557.5,0.1430054,-0.0386403,-0.0911344
641,3496.563,-1665,-5161.75,0.3019943,-0.0788499,-0.1025224
642,4205.25,13914,9708.75,-0.901001,0.0901426,-0.0730973
643,894.0313,8987,8093,1.849007,-0.0683811,-0.0351877
644,2109.25,-4500,-6609.25,-1.628006,-0.0560029,-0.0594243
645,2335.906,17827,15491.25,1.662003,-0.0420977,-0.172635
646,331.875,10763,10431,-0.2819977,-0.102995,0.4065895
647,41.4375,-27,-68.5,2.255997,-0.0155845,-0.0038804
648,-102.75,8985,9087.75,0.3649979,0.1193326,0.0141609
649,-796.4375,12856,13652.5,-1.164993,-0.0205997,0.0979459
650,1844.25,12129,10284.75,0.3149948,0.0353951,0.1407458
651,8828.5,21176,12347.5,-0.0919952,0.0561551,-0.1024101
652,8275.125,5088,-3187.25,-2.861,-0.0562907,-0.0636296
653,2988.531,17848,14859.5,3.085999,0.0160204,-0.191166
654,4682.281,19059,14376.75,0.9300003,0.1256369,-0.132584
655,5639.188,2213,-3426.25,-3.442001,-0.0307178,0.0013393
656,-387.1875,10083,10470.25,-0.6009979,-0.0064739,-0.0276628
657,1482.531,15891,14408.5,-1.459,-0.0646713,0.1611222
658,2809.063,4892,2083,1.051994,-0.0846975,-0.0962592
659,802.2188,10080,9277.75,3.118004,-0.0044019,-0.0005416
660,105.9063,2172,2066,-3.842003,0.1740971,-0.0305088
661,-1132.031,-3518,-2385.75,3,0.0058979,0.1401505
662,-177.0313,6629,6806,-2.299995,0.103297,0.1072488
663,2254.156,953,-1301.25,1.199997,0.0173304,0.0669371
664,3383.688,-6045,-9428.75,-1.5,-0.0798801,-0.1382263
665,2448.156,5455,3007,1.900002,0.0880281,-0.2232143
666,3862.5,8877,5014.5,-1,0.0938129,-0.0951704
667,-810.5313,-1632,-821.5,3,-0.0711658,0.0748334
668,1668.156,4902,3233.75,1.199997,-0.0161877,0.1542021
669,-686.9063,11147,11834,-1.799995,-0.0834135,0.0559683
670,-2152.313,3813,5965.25,-0.6000061,-0.0891612,-0.1384456
671,-1310.188,18100,19410.25,-0.5999985,-0.0318124,0.0171013
672,-2416.313,-6119,-3702.75,-1.099998,0.1913544,-0.0881765
673,-4316.969,-13367,-9050,1.800003,0.0518596,0.1502652
674,-2400.094,-391,2009,0.1999969,0.1026912,0.1281385
675,2542.094,-449,-2991,-1,-0.0428479,-0.008258
676,1245.313,207,-1038.25,3.599998,0.0409334,0.0017982
677,3197,871,-2326,0.2000046,0.0210567,-0.0865786
678,2265.156,2894,628.75,-1,0.067296,-0.0753142
679,652.9063,2659,2006,-1.800003,0.037822,0.0433248
680,2333.094,7698,5365,0.4000015,-0.1158423,0.0848898
681,-1170.781,7332,8502.75,-0.8000031,-0.2029103,0.000291
682,-1095.75,7337,8432.75,4.700005,0.0077077,-0.1102871
683,-1603.844,3346,4950,-1,-0.0950965,0.0767671
684,-6405.125,-6014,391,2.399994,0.0837847,-0.163823
685,-6601.438,-6552,49.5,-1.899994,0.0719545,0.2613249
686,-3139,373,3512,1.599998,0.0234995,0.0976475
687,1602.906,1160,-443,-2,-0.0794529,-0.094534
688,740.5938,-4909,-5649.5,1,0.0309507,0.0211622
689,3539.688,-1861,-5400.75,-1.200005,0.020278,0.0359987
690,3689.313,356,-3333.25,0.2000046,0.03686,-0.1589423
691,-763.9063,1170,1933.75,0.5,0.0501628,0.032198
692,3476.094,20722,17246,0.4000015,-0.005501,-0.0125095
693,439.2188,-654,-1093.25,0.3999939,-0.3088118,0.0097595
694,1190.125,10112,8922,-0.5,0.1088489,-0.1489745
695,3069.625,6455,3385.25,-2.5,-0.1032708,0.1336157
696,948,50232,49284,2.300003,0.2003622,-0.0665429
697,-2790.813,-10875,-8084.25,0.9000015,0.0216632,0.1136432
698,1113.125,1171,58,-1.5,0.0977635,0.0820609
699,1513.75,-1553,-3066.75,2.699997,0.0603848,0.0136774
700,199.3125,1310,1110.75,1,0.0731623,0.0040126
701,2496.875,638,-1859,0.3000031,-0.0339286,-0.1149292
702,1471.594,1511,39.5,-0.5999985,0.0938454,0.022171
703,-258.75,6251,6509.75,1.099998,-0.0094054,0.0716484
704,1937.406,-6535,-8472.5,-2.700005,-0.1820152,-0.0193342
705,1328.688,17163,15834.25,1.300003,-0.0132949,-0.1265558
706,-151.5625,6341,6492.75,-2,-0.0884366,-0.043775
707,702.0313,-3634,-4336,-1.900002,-0.0775158,-0.0993241
708,-2026.281,6107,8133.25,1.599998,0.2648787,-0.0887847
709,-3081.906,-4038,-956.25,-3.299995,-0.0835388,-0.0165789
710,-959.4063,380,1339.5,2,0.1410241,-0.0067091
711,2511.906,5887,3375,2,0.0880904,0.0024769
712,-1851.094,-4252,-2400.75,-0.2000046,0.006315,0.0331966
713,729.6563,-3751,-4480.75,0.6000061,-0.0600579,-0.0647206
714,372.125,-2340,-2712.25,2.299995,0.1373489,0.0524012
715,-1031.563,3710,4741.75,-2.099998,-0.0700366,-0.0644933
716,419.875,-349,-769,1.599998,-0.0907295,-0.0156093
717,-1995.719,8333,10328.75,-1,-0.1040635,0.02915
718,-4634.969,-2620,2015,0.4000015,-0.0171912,-0.1395008
719,-5093,-2956,2137,3.099998,-0.0134676,0.0651667
720,749.6875,-2693,-3442.75,-2.099998,-0.4828844,-0.0741128
721,-10928.69,-10225,703.75,-3.099998,0.073053,-0.0085384
722,-9960.063,-11327,-1367,4.400002,0.1091093,-0.1180591
723,-4952.031,-37790,-32838,-6.100006,0.1115125,-0.1338174
724,-5446.063,-17713,-12266.75,-7.799995,0.1464201,-0.0061159
725,-3747.656,-12136,-8388.5,7.5,0.1984019,0.0694985
726,-4324.813,2764,7088.75,2.400002,0.1269326,0.0838512
727,-3424.406,-604,2820.5,0.3999939,-0.0279417,0.1209772
728,-4274.938,5542,9817,3.600006,0.0149994,-0.083768
729,-4025.813,-638,3387.75,-0.7000046,-0.13643,0.0568177
730,-3420,3088,6508,0.5,-0.1476917,0.0303262
731,-2622.313,-3350,-727.75,1.800003,-0.0818613,-0.0166884
732,-1783.844,934,2718,0.5,0.0308328,0.0170799
733,-1731.563,-3674,-1942.5,3.900002,-0.0017555,0.1902554
734,-2388.25,11439,13827.25,-0.7000046,0.0477157,0.1578387
735,-2269.281,1566,3835.25,-1.900002,-0.062089,0.0894103
736,-975.7188,1196,2171.75,-0.3999939,-0.0743678,-0.0288539
737,-29.875,390,420,1.699997,0.0126481,0.0543983
738,-641.3438,3178,3819.25,0.0999985,-0.0073986,-0.0033133
739,-1322.656,1840,3162.5,1.400002,-0.0433306,0.0688461
740,-7.90625,10130,10138,-3.099998,-0.0679659,0.0007563
741,-661.3125,-1128,-466.75,0.4000015,-0.1182553,0.0340786
742,-850.9375,9959,10810,2,-0.1535321,-0.0376592
743,-824.4063,-7607,-6782.5,4.299995,-0.0618575,0.1879703
