State,Quarter20051,Quarter20052,Quarter20053,Quarter20054,Quarter20061,Quarter20062,Quarter20063,Quarter20064,Quarter20071,Quarter20072,Quarter20073,Quarter20074,Quarter20081,Quarter20082,Quarter20083,Quarter20084,Quarter20091,Quarter20092,Quarter20093,Quarter20094,Quarter20101,Quarter20102,Quarter20103,Quarter20104,Quarter20111,Quarter20112,Quarter20113,Quarter20114,Quarter20121,Quarter20122,Quarter20123,Quarter20124,Quarter20131,Quarter20132,Quarter20133,Quarter20134,Quarter20141,Quarter20142,Quarter20143,Quarter20144,Quarter20151,Quarter20152,Quarter20153,Quarter20154,Quarter20161,Quarter20162,Quarter20163,Quarter20164,Quarter20171,Quarter20172,Quarter20173,Quarter20174,Quarter20181,Quarter20182,Quarter20183,Quarter20184,Quarter20191,Quarter20192,Quarter20193,Quarter20194,Quarter20201,Quarter20202,Quarter20203,Quarter20204,Quarter20211,Quarter20212,Quarter20213,Quarter20214
0,3.1,3.4,2.4,6.9,1.1,0.2,3,0.8,2.5,2.4,2.6,-2.3,1.8,-2.9,-9.3,-4.9,-1.2,1.4,4,1.4,4.9,3.6,2.9,-1.7,2.8,-0.1,6,3.4,1.9,0.4,0.1,3.5,0.5,3.9,3.8,-1.7,5.8,5.6,2.1,3.9,2.4,1.4,0.7,2.6,1.2,2.5,2.2,2.1,2.6,3.1,4.1,3.4,3.7,2.1,1,3.1,3.2,3,1.6,-5.9,-33.4,38.4,5,7.1,7.1,1.9,7.9,7.9
1,5.2,-1.2,4.6,2.3,1,1,-1.7,-1.6,3.3,3.2,-1.2,-1.4,0.2,-4.8,-13.3,-5.3,-0.8,1.5,2,-0.1,6.5,9.7,0.7,-3.8,2.5,2.5,6.7,0,2.5,-4.4,-1.6,11.2,-1.7,3.5,-4.3,-7.1,6.1,2.6,-0.1,-2.1,3.8,1.2,-0.5,3.2,2.5,-0.3,2,3,0.6,2.1,3.3,3.1,1.5,-0.2,2.2,2.1,1.1,1,0.9,-5.3,-34.9,49.3,2.1,3.1,2.8,0.8,6.9,6.9
2,6.9,-2.3,5.4,14.8,16.1,5.3,15.5,4,8.5,-0.8,-8.5,-11.4,-11,20.9,52.4,17.7,-4.8,-12.3,-6.4,-11.2,12.4,3.7,-1.4,-14.5,10.3,6.1,19.7,-0.5,13.9,-4.6,-8.2,-4.7,-14.3,2.9,-3.2,-9.2,2.2,3.5,4.7,6,-4.6,-1.2,0.1,2.4,-8,-2,-0.3,0.7,0.8,4.7,-6.7,-4.8,-3.1,-0.3,2.9,-2.8,0.2,9.2,-0.8,-8.5,-39,14.5,13.2,-5.2,2.1,0.1,4.6,4.6
4,6.2,7.6,1.8,7.8,1.8,3,7.3,1,4.8,4.5,-0.3,-2,-0.3,-4.9,-14.8,-13.8,-8.1,-3.7,3.4,-2.2,5,5.5,5.5,-1.4,2,0.6,9.7,0.8,1.4,-1.5,0.9,2.1,-0.3,2.6,3.3,1.2,1.5,3.8,-1.3,6.8,1,0.3,3.6,3.8,4.3,4.9,2.2,4.4,3,6.8,3.2,7.4,1.7,3.1,2.7,5.1,3.3,5.2,2.8,-6.5,-24.1,32.2,9.3,2.6,5.8,3.2,7.1,7.1
5,2.6,2.5,10.1,-1.1,5.4,-3.4,-2.8,-9.1,4.1,1.2,22.9,-19.9,6.1,-3.9,-8.5,2.2,-15.2,1.1,3,-0.1,13.6,6.2,0.8,-2.1,4.5,0,6.3,-0.4,-0.6,-2.1,-3.8,13.8,-1,4.4,-0.8,0.1,2.5,3.2,1.4,-2.9,2.9,3.4,-0.7,-1.9,0.2,0.2,6.1,-2.4,1.5,-0.1,4.3,3,1,1.6,2.5,-1.8,0.6,2.9,3.1,-4.3,-26.1,35.2,2.7,9.1,2.2,0.5,5.7,5.7
6,4.6,5.9,4.5,9.1,-0.8,2,2.8,-2.1,3.8,4.5,6,-6.4,9.4,-0.7,-14.2,0.3,-5.1,-1.3,3.3,4.3,2.3,2.7,9.6,-3.1,0.9,-2.2,3.1,6,1.7,3.4,5.9,-0.6,3.7,5.2,11.3,-4.1,4.7,7.8,0.5,10.2,4.8,-0.3,1,6.3,0.2,6.2,3.5,5.2,7.3,6.9,6.6,0.5,6.3,4.6,0.9,4.4,6.4,2.9,3,-5.4,-32.8,38.9,7.4,11.3,10,2.3,10.6,10.6
8,2.2,3.6,-4.9,12.5,-1.7,5.6,-0.7,6.5,7,4.4,8.5,-5.2,3.2,-1.8,-5.2,-1.7,-7.8,2.4,1.7,-2.6,2.5,5.5,9.4,-5.2,1.3,1.1,3.6,2.4,2.9,-0.8,4.5,7.7,0.7,5.8,4.8,2.4,5.3,7.3,8.9,4.3,2,2.7,3,-1.6,1.6,6.3,4.7,0.7,3,5.6,5.2,4.4,3.3,2,5,4,6.1,7,-0.4,-4.1,-32.3,30.8,4,8.3,10.6,1.7,7.2,7.2
9,0.5,-0.4,7.3,14.7,-3,-0.1,5.5,15.1,-0.4,0.2,-2.9,23.5,-7.1,-16.4,-21,11.3,-4.2,-0.3,1.6,-0.5,2.8,-0.6,-4.7,-9.8,6.1,-4,3.1,4.3,0,-0.8,-0.8,-6.3,-3.2,2.6,-1.5,-7.4,5.8,5.3,5,4.5,1.5,-1.4,-0.4,3,-1.9,-0.8,3.1,-0.6,8.3,0.9,0.2,2.3,-1.4,5.4,-1.5,2.2,0.9,-0.5,-0.3,-9.6,-36.1,35.6,4.5,3.2,5.8,2.5,8.6,8.6
10,-13.1,-0.4,68.5,-21.7,6.9,-5.9,-6.2,4.1,10.1,-11.6,-5.4,-5.9,3.3,-1.8,-7.3,26.8,7.4,0.9,-12.4,9.7,-11.5,1.5,5,11.3,4.6,2.5,-0.5,6.1,-8.9,-3,-11.3,-6.5,-1.4,3.9,19.3,4.3,14.7,10.3,2.7,5.6,6.5,-12.5,-5.4,-10.8,-3.5,-5.3,-0.9,-5.1,-10.3,0.8,-1,1.9,3.6,8,1.2,6.9,5.2,1.5,2.9,-11.5,-24.7,30.2,2.2,1.2,5.2,5,8.2,8.2
12,3,8.3,-0.3,6.6,2,-1.3,4.5,-4.3,3.4,1.5,-3.2,-7.6,-3.1,-7.2,-13.7,-7.2,-4.8,-1.6,3.5,-1.2,3.1,3.2,2.5,-5.5,2.1,-1,2.1,1.8,-1.2,4.2,-1.2,6.3,0.6,4.5,3.7,0.1,5.8,6,4.1,4.8,6,4.7,3.7,1.2,3.6,6.3,3.3,4,2.8,2.2,6.2,6.4,2.2,4.6,1,5.9,2.1,2.7,2,-5.3,-31.1,39.9,1.8,9,12.1,3.5,8.3,8.3
13,3.2,1.7,4.7,-1.5,0.6,2.2,3.7,-6.8,3.8,4.3,3.5,-10.4,1.9,-4.1,-14.6,-5.2,0.2,-0.8,2,-1.6,2.2,4.3,6.8,-1.3,0.5,2.4,3.4,1.9,1.3,1.5,-1.1,6.9,-0.3,2.8,3.8,3.6,6.5,4.8,1.8,6,6,2.5,3.3,7.2,2.4,3.2,3.7,5.8,1.5,2.9,6.6,-0.4,4.6,4.3,2.7,4,7.1,2,-0.1,-8.7,-30.6,34.5,3.2,6.8,8.4,3,8.4,8.4
15,6.1,6.2,4,-1,3.3,2.5,0.2,0.4,2.7,7.2,3.9,-2.6,1.8,-7,-10,-6.9,-1.1,-1.5,3.4,2.6,4.4,7.3,3.4,-4,0.2,0.1,5.6,2,2,2.1,-1.1,10.8,-3,2.3,1.4,-5.3,3.9,4.5,1.6,6.4,4.8,2,4.1,-1.1,2.5,2.4,0.9,5.9,2.1,3.4,0.4,4.1,5,-1,-3.3,-4.8,1,5.1,-1.4,-13.3,-52.9,20.1,6,5.7,28.3,5.3,8.1,8.1
16,7.7,6,-2.8,11,2.4,-6.9,3.5,4,1.3,4.3,9.3,0.1,9,-0.6,-11.6,-7.8,-11,4,-1.6,7.4,1.6,5.3,3,-5.2,-0.4,-0.8,6.7,-4.8,2.2,1.1,-5.2,12.4,7.6,5,7.8,-0.4,3.2,4,2.9,1.6,-4.3,0.3,-0.8,14.6,4,3.1,-2.1,0.5,5.4,4,4.7,14.9,4,2.8,5.1,5.8,3.7,4.1,3.1,-1.7,-28.6,43.8,6.6,7.4,2.2,-1.8,9.8,9.8
17,0.5,2.5,0.1,9.2,0.3,-0.1,3,0.2,2.3,1.2,4.1,-6.3,3.1,-1.4,-12.1,-3.7,0.2,1,4.2,-5.2,5.2,5.8,1.6,0.3,3.6,-0.4,6.1,6.4,1,-2.7,-3.1,3.9,-2.7,0.7,4.5,-1.1,7.6,5.1,0.1,0.3,1.8,3.5,-2.4,-2.2,0.6,-1,3.8,-3.2,2.9,2.6,2.4,5,2.5,1.3,0.2,0.2,0,1.2,-0.6,-8,-32.5,33.6,2.8,11.2,2.8,2,5.7,5.7
18,3,1.9,-1.2,1.2,-0.3,1.1,4.3,3.2,10,5.1,5,-4,-1.3,-9.3,-15.1,-18.1,-0.8,4.4,14.5,7.3,8.6,6.8,-0.2,-2.3,-1.2,-1.1,6.1,0.2,1.7,-1.9,-4.7,17.3,-3.6,4.6,0.7,4.6,6.3,2.1,-3.7,-4.3,2.2,-2.6,1.7,1.5,3.9,3.7,2.5,-1.2,2.7,0.9,5.4,7.3,2.6,0.5,0.1,-2.8,3.2,1.1,1.4,-3.8,-36,54.6,4.8,10.6,4.7,0.1,6,6
19,0.6,3.1,-4.8,5.9,2.9,-3,6.4,7.4,9.8,1.4,1.6,-4.2,-2.4,-8.9,-12.4,-4,2.4,6.5,6.2,-2.6,6.5,1.1,3.3,-4.2,3.2,2.8,14.4,4.9,5.4,-2.3,-8.5,5.2,-2.9,5.2,4.1,4.2,14,6.3,-0.2,4.3,0.8,1.6,-0.4,-2.6,-4.4,4.7,-0.8,0.4,-1.1,-3.7,4.2,4,2.7,0.3,0.2,-6.5,2.5,6.7,2.2,-8,-25.6,34.8,6,12.7,6.5,-1.1,-2.5,-2.5
20,0.8,0.6,-8.3,29.2,2.4,-1.5,4.9,13.8,4.4,1.3,4.2,5,4.3,-5.1,-12.9,-6.3,-1,1.8,5.2,-10.6,7.9,9.5,4.1,-2.2,7.5,-1.2,2.6,20.9,-7.2,-15.3,-1.2,6.2,4.1,2.1,8.3,-11.5,13.2,12.2,5.1,-8.2,8.7,2.6,3.4,0.8,7.7,4.4,1.8,-0.3,-1.8,1.5,1,4.8,3.7,3,1.9,-6.1,5.1,2.5,4.1,-4.3,-31.5,42.1,4,3,3.7,-1.5,1.8,1.8
21,6.8,3.8,0.7,6.7,2,-2.6,-1.9,-4.7,2.5,-0.2,5.3,-2.2,2.1,-9.8,-11.2,-5.3,-4,4.8,8.6,-3.9,12.3,8.8,1.4,-6.6,2.6,2,10.1,-1.3,1.8,-2,-4,16.6,-3.6,2.1,-0.6,-2.2,5.3,0.9,-0.5,-0.6,5.1,-0.3,1.6,-5.3,7.1,5.1,-0.4,-1.9,2.7,1,3,-1.4,5,-1,0.7,3.6,3.1,2.2,2.5,-4.8,-36.8,55,2.3,5.5,1.9,0.4,6.5,6.5
22,5.9,-7.5,0.9,1.9,-1.2,-2.5,1.1,-18,-4.6,-1.5,-1.1,1,5.3,0.1,3.8,0.4,-3.9,2.7,4.1,12.2,5.9,2.1,-7.7,-14,-4.5,-4.1,7.6,5.7,1.5,-9.6,-5.5,-0.3,-4.7,2.6,2.3,0,13.3,6.8,2.6,-6.6,-4.1,-1.5,-4.3,-4,-0.7,0,2.9,5.6,2.7,0.5,-0.6,5.2,0.3,-1.9,-1,0.5,-1.3,2.8,1,-9.4,-35.4,32.9,0,2.3,7.6,-3.2,6.8,6.8
23,1.8,2.3,3.9,-1,3.2,-4,2.2,-5,5.9,0.4,-0.8,-2.1,-0.9,-3.8,-10.9,-2.1,2.6,5.2,3,-1.1,1.7,4,-3,-3.4,0.4,-1,8.2,-2.8,3.1,-4.9,-8.2,6.8,-4.5,2.9,2.3,-1.1,3.5,3.7,3,-4.5,3.8,0.2,3.5,-1.4,5.2,-0.5,5.4,1.1,1.3,4,4.2,4.2,3.7,2,-2.6,5.6,0.8,5,3,-2,-30.1,37.6,10.1,2.6,3.9,1.6,7.9,7.9
24,3.8,9.2,1.5,-1.9,0.1,0.9,1.4,-4.9,4.9,-1.6,4.6,5.8,4.9,-1.7,-6.4,-6.1,1.3,2.8,5.7,6,5.8,3.9,5.9,-2.9,4,-0.6,3,0.4,-4.5,3.7,-4.5,4.8,-1.7,3,2.4,-1.5,6.2,4,-2.1,6.9,1.5,2.3,3.7,6,4.3,3.7,2.7,-0.5,1.5,2.6,3.2,-2.7,2.6,-1,1.4,-2.5,2.8,0.2,-1.4,-6.5,-36.5,36.4,0.2,11.9,-4,1.3,7.3,7.3
25,1.9,5.1,0.9,3.8,1.5,-1.7,7.9,-1,3.3,6,6,1.8,5,-5.2,-9.1,-1.2,-1,3.4,4.2,7.5,7,8,-0.1,-6.6,13.1,-6.2,8.9,0.9,5.3,0.8,-1.3,-1.3,0.2,3.8,1.4,-5.2,4.9,7.1,7.3,1.6,5.6,-2,5,-0.8,2.6,5.5,-2.1,0.2,3.4,5.5,3.2,5.5,4.8,2.3,0.6,6.1,3.3,3.3,-0.1,-3.3,-34.6,35.2,9.3,5.9,9.7,3.9,8.8,8.8
26,1.4,-2.8,0.6,-4,0.8,-1.9,-3.6,5,-1.1,-0.1,-7.9,-8,-4.7,-11,-12.1,-25.8,2.6,1.6,8.1,0.5,16.2,11.7,-0.7,1.9,-0.9,1.7,14,-2.7,3.2,0.1,-1,5.8,0.1,2.9,1.6,-2.3,7.1,3.2,-0.5,2.4,3.9,1.8,1.3,1.4,5.8,0.1,2.1,-0.8,2.4,-0.1,3.5,6.9,3,-1.8,-3.5,0.2,2.8,0.7,-0.7,-5.1,-42.4,65.5,2.9,2.3,13.9,-0.9,6.5,6.5
27,1.6,7.8,-3.6,-0.5,3.9,-7.7,0.2,0,8,0.2,3.7,0.2,-0.4,3.1,-13.7,-8.3,-0.7,0.9,6.6,-0.2,6.9,5.5,11.3,-5.5,8.1,-3.6,3.1,4.5,-0.3,1.9,-1.7,4.6,2.6,8.4,2,-0.5,6.7,5.6,-2.5,3.8,-2.4,2.6,2.1,0.3,1.2,6.6,1.2,2.9,-1,-2.4,4.7,6,4.6,2.3,0.7,-3.6,2.2,2.1,1,-7.1,-29.7,29.8,4.9,8.3,9.3,1.8,5.5,5.5
